company_id,employee_count_latest,follower_count_latest
1237463,714,4673
6209800,22,193
58138979,0,0
11090822,4,21
47489,173,5012
39177712,2,8
564586,70,4976
857700,63,1143
4811406,86,4652
1182899,114,1847
33192703,14,24
15634533,34,121
5134580,78,811
121580,441,2713
1146019,130,1228
101810042,7,678
30624596,46,2483
8101484,80,207
100249745,3,193
1151626,230,3522
2269868,58,876
18754691,10,1451
40778606,637,7105
10612400,140,1257
52283760,11,139
3849680,10,759
102617645,2,28
16124017,39,105
15760876,6,95
18310269,8,433
2123580,240,1338
2942357,130,609
61255270,38,83
533247,96,701
147699,293,11008
8717595,242,646
22642903,9,16
25980,1330,7857
33182233,10,378
1119770,58,1289
31437587,7,14157
94864081,2,495
81887363,45,18920
68481264,22,26930
42144074,35,480
4380406,128,3404
3566289,46,454
11565578,227,7184
10504457,5,1985
96666603,2,2495
1026261,291,2532
53797792,2,11
706445,153,5356
2139418,6,169
239891,768,31681
86765872,6,30
651069,142,698
65012347,205,741
33230340,126,2171
97444882,0,1631
866389,481,1912
2812998,66,726
137350,222,1099
2542272,246,2570
101553608,2,74
1226520,473,2069
15558072,70,108
7946447,67,994
10608945,134,650
102216203,3,89
102338702,0,2
98886606,3,1062
2163948,136,1425
296008,147,838
65893886,159,2547
8639647,66,738
230220,89,12389
102349851,0,36
11308812,3224,39132
15539593,15,85
17947566,1638,26900
15349,3237,17357
78075988,3,137
18298108,12,278
95020944,5,4862
52141373,5,61
14040772,3,742
18985381,234,10685
6598424,56,430
3952,12654,23333
27872,797,5771
24772886,9,393
1549596,4689,120573
218487,12,10652
615115,35,327
1357181,105,2867
78735585,43,303
98763390,2,13520
71301545,61,186322
11874,21756,56715
90390310,3,146
6582187,129,44713
53345529,76,694
92680077,1,6
3829698,208,1585
70440201,46,4662
9180986,14,406
101736615,0,0
410065,461,4127
302759,59,446
101486161,0,1355
101670262,0,1153
1100328,61,1997
1091704,335,6388
1149540,238,2906
5511398,264,4461
3680938,18,2693
89238373,122,1868
84013617,22,71
28636271,2,149
80286823,4,44
15887330,3,18
5220332,429,38290
16157991,12,1537
51029,289,956
15263991,15,107
166943,1927,19881
3482298,135,2731
33300945,42,798
85605846,2,128
26499557,7,262
82785211,8,197
54524503,23,34
101725309,0,0
3598340,68,9635
18617400,17,38037
10361775,40,4310
743711,48,159
99958486,0,181
94146203,1,2755
7168048,10,25065
60719662,19,13
90711165,2,2235
35535319,8,18434
20902,154,4249
55053808,11,48
115590,128,2366
11044738,33,6072
82110637,13,1401
35683042,4,225
3741338,166,17920
74115010,13,679
15342999,6,41
118767,25,16482
11159993,56,1335
96643,208,7699
99349703,0,103
11168497,12,528
30601088,5,594
27162505,4,1676
2553960,153,2494
3064940,3,4282
91372113,3,155
15080505,85,588
91120238,10,236
10448504,159,782
10264196,25,202
10017490,31,941
15641048,8,78
67538,410,4587
30769813,8,422
90414011,11,792
1540117,37,1336
16264523,31,655
5082157,68,7075
82810722,2,1130
81289577,1,16
99554798,0,550
8742543,63,1518
9665532,44,200
424881,20,342
15766466,6,10
61710462,17,28
89178877,230,1904
1776322,596,5591
10841162,3,14
13197795,2,42
71471091,1,129
62619779,0,3
59389735,11,34
96133503,19,1163
98213559,0,32
91320849,3,81
9304109,1584,17232
90489783,1,234
2345404,363,3372
70838350,2,3
100862424,6,500
58841134,1,1
1367328,31,9880
234772,473,5082
15761078,16,55
95748154,2,72
95752479,1,207
96226080,8,85
10822209,135,2233
11000892,3,678
95745138,1,28
78417613,4,8
84876005,12,560
71301585,9,96
81488948,4,1061
77745426,4,10
309688,712,3155
2342745,5,702
5291966,6,44
102179396,0,290
51688209,10,1748
101719488,1,1
86047386,18,441
64546798,17,1956
6428660,390,13209
920080,12,138
5094262,19,149
12578,7032,554105
3329408,3,88
2137348,530,314
89772074,5,770
15243569,95,7842
86429460,0,8
716986,216,7660
2498513,38,123
4029241,11,71
4032655,363,5265
31384576,7,681
82345382,19,7086
10303214,7,229
19212961,7,1023
100897536,1,12
