salary_id,job_id,max_salary,med_salary,min_salary,pay_period,currency,compensation_type
1767,3884818994,68474.0,,47840.0,YEARLY,USD,BASE_SALARY
1768,3885812396,24.8,,16.5,HOURLY,USD,BASE_SALARY
1769,3884996014,212800.0,,124100.0,YEARLY,USD,BASE_SALARY
1773,3884823114,,25.0,,HOURLY,USD,BASE_SALARY
1785,3884917818,23.0,,20.0,HOURLY,USD,BASE_SALARY
1808,3887841165,,66.0,,HOURLY,USD,BASE_SALARY
1814,3885826228,170000.0,,90000.0,YEARLY,USD,BASE_SALARY
1818,3885827498,160000.0,,100000.0,YEARLY,USD,BASE_SALARY
1819,3887869640,44.56,,31.52,HOURLY,USD,BASE_SALARY
1821,3885826582,110000.0,,90000.0,YEARLY,USD,BASE_SALARY
1829,3884820696,,30.6,,HOURLY,USD,BASE_SALARY
1834,3887862573,,13.0,,HOURLY,USD,BASE_SALARY
1852,3887840143,,38.0,,HOURLY,USD,BASE_SALARY
1855,3887875969,254300.0,,141300.0,YEARLY,USD,BASE_SALARY
1872,3884824095,41.05,,19.75,HOURLY,USD,BASE_SALARY
1878,3887834975,,38.0,,HOURLY,USD,BASE_SALARY
1879,3885826573,110000.0,,90000.0,YEARLY,USD,BASE_SALARY
1884,3885811410,124000.0,,75000.0,YEARLY,USD,BASE_SALARY
1885,3885827485,110000.0,,80000.0,YEARLY,USD,BASE_SALARY
1894,3885827477,200000.0,,160000.0,YEARLY,USD,BASE_SALARY
1896,3884822314,,25.0,,HOURLY,USD,BASE_SALARY
1897,3887883668,,23.0,,HOURLY,USD,BASE_SALARY
1914,3887882220,,16.0,,HOURLY,USD,BASE_SALARY
1935,3885827511,110000.0,,90000.0,YEARLY,USD,BASE_SALARY
1938,3887892629,25.14,,20.0,HOURLY,USD,BASE_SALARY
1939,3887834974,,38.0,,HOURLY,USD,BASE_SALARY
1940,3887885409,,23.0,,HOURLY,USD,BASE_SALARY
1950,3885828046,150000.0,,100000.0,YEARLY,USD,BASE_SALARY
1964,3885810454,124000.0,,75000.0,YEARLY,USD,BASE_SALARY
1966,3887888881,25.14,,20.0,HOURLY,USD,BASE_SALARY
1968,3884828731,238600.0,,112000.0,YEARLY,USD,BASE_SALARY
1972,3884824756,21.0,,15.0,HOURLY,USD,BASE_SALARY
1990,3885824657,130000.0,,90000.0,YEARLY,USD,BASE_SALARY
1992,3884835229,80.0,,77.0,HOURLY,USD,BASE_SALARY
2000,3887883684,,18.0,,HOURLY,USD,BASE_SALARY
2002,3887894639,190000.0,,110000.0,YEARLY,USD,BASE_SALARY
2006,3884946155,19.24,,10.33,HOURLY,USD,BASE_SALARY
2007,3885826579,110000.0,,80000.0,YEARLY,USD,BASE_SALARY
2013,3885826633,130000.0,,110000.0,YEARLY,USD,BASE_SALARY
2015,3884825049,68474.0,,47840.0,YEARLY,USD,BASE_SALARY
2016,3885807706,124000.0,,75000.0,YEARLY,USD,BASE_SALARY
2017,3885827507,160000.0,,100000.0,YEARLY,USD,BASE_SALARY
2024,3885827472,130000.0,,100000.0,YEARLY,USD,BASE_SALARY
2035,3887891706,300000.0,,144400.0,YEARLY,USD,BASE_SALARY
2038,3885827114,140000.0,,90000.0,YEARLY,USD,BASE_SALARY
2041,3884824745,32.75,,22.75,HOURLY,USD,BASE_SALARY
2049,3887889762,237100.0,,111100.0,YEARLY,USD,BASE_SALARY
2052,3885828018,140000.0,,100000.0,YEARLY,USD,BASE_SALARY
2054,3887891791,140000.0,,110000.0,YEARLY,USD,BASE_SALARY
2056,3885822769,90000.0,,80000.0,YEARLY,USD,BASE_SALARY
2059,3885826570,130000.0,,85000.0,YEARLY,USD,BASE_SALARY
2062,3888009438,30.0,,27.0,HOURLY,USD,BASE_SALARY
2064,3885828022,150000.0,,100000.0,YEARLY,USD,BASE_SALARY
2068,3887841183,,47.75,,HOURLY,USD,BASE_SALARY
2074,3887837969,,52.0,,HOURLY,USD,BASE_SALARY
2082,3888008606,32.0,,27.0,HOURLY,USD,BASE_SALARY
2085,3888004873,30.0,,26.0,HOURLY,USD,BASE_SALARY
2088,3884829108,21.0,,15.0,HOURLY,USD,BASE_SALARY
2093,3885824660,160000.0,,100000.0,YEARLY,USD,BASE_SALARY
2095,3888004874,,1000.0,,MONTHLY,USD,BASE_SALARY
2096,3887831804,,165000.0,,YEARLY,USD,BASE_SALARY
2099,3885826667,16.5,,15.85,HOURLY,USD,BASE_SALARY
2108,3887887880,237100.0,,111100.0,YEARLY,USD,BASE_SALARY
2111,3885823697,200000.0,,120000.0,YEARLY,USD,BASE_SALARY
2114,3884822435,68474.0,,47840.0,YEARLY,USD,BASE_SALARY
2115,3887882676,,22.0,,HOURLY,USD,BASE_SALARY
2118,3887892598,27.69,,18.0,HOURLY,USD,BASE_SALARY
2121,3884830888,127900.0,,75500.0,YEARLY,USD,BASE_SALARY
2130,3885811464,124000.0,,81000.0,YEARLY,USD,BASE_SALARY
2139,3885822783,120000.0,,90000.0,YEARLY,USD,BASE_SALARY
2143,3885826577,150000.0,,90000.0,YEARLY,USD,BASE_SALARY
2144,3887888868,300000.0,,144400.0,YEARLY,USD,BASE_SALARY
2151,3884825050,68474.0,,47840.0,YEARLY,USD,BASE_SALARY
2156,3887887889,25.14,,20.0,HOURLY,USD,BASE_SALARY
2160,3885827474,180000.0,,150000.0,YEARLY,USD,BASE_SALARY
2163,3885811371,124000.0,,75000.0,YEARLY,USD,BASE_SALARY
2166,3887884012,,20.0,,HOURLY,USD,BASE_SALARY
2168,3884820689,90.0,,22.03,HOURLY,USD,BASE_SALARY
2169,3885826581,150000.0,,125000.0,YEARLY,USD,BASE_SALARY
2171,3885823641,150000.0,,100000.0,YEARLY,USD,BASE_SALARY
2176,3884435209,80.0,,40.0,HOURLY,USD,BASE_SALARY
2180,3885843339,110000.0,,90000.0,YEARLY,USD,BASE_SALARY
